Daerah;Kecamatan;Jumlah_Penduduk;Total
Kabupaten_Jombang;Bandar Kedung Mulyo;52584;1370000
;Perak;59075;
;Gudo;58800;
;Diwek;113978;
;Ngoro;80318;
;Mojowarno;99414;
;Bareng;59406;
;Wonosalam;35046;
;Mojoagung;83813;
;Sumobito;90189;
;Jogo Roto;74054;
;Peterongan;70476;
;Jombang;143248;
;Megaluh;41487;
;Tembelang;57114;
;Kesamben;68803;
;Kudu;32856;
;Ngusikan;23759;
;Ploso;43414;
;Kabuh;43360;
;Plandaan;38806;
Kabupaten_Sidoarjo;Tarik;73395;2171500
;Prambon;85355;
;Krembung;74373;
;Porong;76330;
;Jabon;60020;
;Tanggulangin;94816;
;Candi;167340;
;Tulangan;110037;
;Wonoayu;91119;
;Sukodono;132654;
;Sidoarjo;215073;
;Buduran;107645;
;Sedati;103622;
;Waru;211050;
;Gedangan;128631;
;Taman;217900;
;Krian;141787;
;Balong Bendo;80353;
Kabupaten_Mojokerto;Jatirejo;45200;1147600
;Gondang;44400;
;Pacet;60600;
;Trawas;31700;
;Ngoro;85600;
;Pungging;80800;
;Kutorejo;68000;
;Mojosari;80400;
;Bangsal;52800;
;Mojoanyar;50000;
;Dlanggu;57900;
;Puri;79800;
;Trowulan;77200;
;Sooko;74700;
;Gedek;58300;
;Kemlagi;60100;
;Jetis;87900;
;Dawar Blandong;52200;
Kota_Surabaya;Karang Pilang;75500;3017800
;Jambangan;54200;
;Gayungan;43800;
;Wonocolo;80000;
;Tenggilis Mejoyo;58900;
;Gunung Anyar;62300;
;Rungkut;123700;
;Sukolilo;115900;
;Mulyorejo;88200;
;Gubeng;132400;
;Wonokromo;153600;
;Dukuh Pakis;59300;
;Wiyung;76500;
;Lakarsantri;65000;
;Sambikerep;69100;
;Tandes;91800;
;Suko Manunggal;104200;
;Sawahan;198500;
;Tegalsari;97500;
;Genteng;58200;
;Tambaksari;227000;
;Kenjeran;185300;
;Bulak;47800;
;Simokerto;92100;
;Semampir;183300;
;Pabean Cantian;73900;
;Bubutan;96700;
;Krembangan;114900;
;Asemrowo;48800;
;Benowo;74900;
;Pakal;64500;
;;;
;;;
;;;
;;;
;;;
