Kode_Halte;Nama_Halte;Latitude;Longitude;Koridor
H02_01;Dukuh_Menanggal;-7.343450;112.728877;2
H02_02;Siwalankerto2;-7.336929;112.729541;2
H02_03;Medaeng;-7.350101;112.713174;2
H02_04;Kemendung2;-7.370128;112.651001;2
H02_05;Trosobo_Pos2;-7.375425;112.636149;2
H02_06;Bypass_Timur2;-7.389095;112.606860;2
H02_07;Terminal_Krian;-7.411490;112.582921;2
H02_08;Klenteng_Krian;-7.411127;112.577341;2
H02_09;Jabaran2;-7.414344;112.554602;2
H02_10;Bypass_Barat2;-7.414805;112.546892;2
H02_11;Bakalan2;-7.409830;112.531144;2
H02_12;Bakung2;-7.415718;112.503865;2
H02_13;Ciro2;-7.419039;112.492022;2
H02_14;Singkalan2;-7.428406;112.474460;2
H02_15;Kramat_Temenggung2;-7.433169;112.464702;2
H02_16;Mlirip2;-7.439786;112.460150;2
H02_17;Mertex2;-7.452257;112.459693;2
H02_18;Sekar_Putih2;-7.463851;112.460150;2
H02_19;Gunung_Gedangan;-7.470719;112.459113;2
H02_20;Terminal_Kertajaya;-7.491291;112.448998;2
