Nama_Halte;Latitude;Longitude
Terminal_Kertajaya;-7.491291;112.448998
Rambu_Aston;-7.497388;112.440660
Waterland;-7.514893;112.423065
Puskesmas_Sooko;-7.527181;112.412264
Pertamina;-7.539036;112.391925
Rambu_Pasar_Rakyat;-7.551935;112.379888
Rambu_Ngemplak_Utara;-7.570183;112.353535
Seberang_Taman_Mojoagung;-7.570624;112.344821
Seberang_Puskesmas_Jogoloyo;-7.555839;112.305571
Rambu_Palrejo;-7.558796;112.311600
Indomaret_Fresh_Janti;-7.552380;112.299411
Taman_Tirta_Wisata;-7.537979;112.262313
Halte_Gatot_Subroto;-7.538907;112.248871
Stasiun_Jombang;-7.557709;112.233746
;;
